Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
111.4;763147182.557888;954935192.534519;1168443473.13642;218093099.872307;178675244.305877;146796423.795377;0.285781176759784;0.187107193977897;0.125634168165051
115.558333333333;485198955.263639;686001068.091471;906943499.13969;219133965.220617;213387213.771823;196501623.489769;0.451637339370503;0.311059594069568;0.216663577914354
120.2625;98572604.7439882;239016506.192124;395866137.278534;105630847.330811;143214915.863467;175342802.524119;1.07160450517823;0.599184207589198;0.442934583214292
124.983333333333;14720818.1790319;64382013.8542809;214928489.373879;27241599.5458949;76941221.0790728;143157923.870088;1.85054928432561;1.19507322733361;0.666072349399234
129.658333333333;7219650.62056625;22190890.1851366;101462721.899583;9643319.83947933;33797428.3464225;101122802.89094;1.33570450237701;1.52303166139139;0.996649813820501
134.304166666667;4301845.47434683;9017529.34141807;41350324.067844;3804872.0543238;13077020.891768;56534740.6488899;0.884474367341499;1.45017780332629;1.36721396804854
139;3312894.65457935;5808042.0715666;19167515.2307074;1713948.16594533;6344279.54983011;29245091.796373;0.517356675853297;1.09232672071862;1.52576332635546
143.645833333333;3002287.81466409;4276985.96437839;10594717.7321559;914368.016229034;3252999.27862543;15155263.5643442;0.304557082023576;0.760582172987844;1.43045468010409
148.145833333333;2774785.58776259;3533336.45503453;7084641.39777334;458441.532701003;1844287.74054298;8352166.72173455;0.165216921524615;0.521967767296861;1.1789117123641
152.529166666667;2670349.07689562;3161359.48008613;5317426.45618287;273058.862726496;1092289.02933645;5072554.21039159;0.102255868002073;0.345512440523434;0.953949105303272
157.354166666667;2752739.64473517;2999770.32512012;4165869.05097851;230695.60153851;590840.404372356;2939683.05228664;0.0838058194060354;0.196961880522868;0.705659015277052
162.179166666667;2711621.74973627;2848663.41956985;3651212.91950442;190902.730063693;385331.026907047;1750957.44559355;0.0704016812382701;0.135267306154839;0.479555009306662
166.475;2592359.53259672;2804520.8120414;3186626.57087506;97126.98136626;262805.60186994;1202891.78740741;0.0374666322880645;0.0937078451126361;0.37748125193003
170.758333333333;2523186.41566709;2675589.60132832;2941760.67312018;77042.6119595672;190684.343291221;789249.075997842;0.0305338565082589;0.0712681583141725;0.268291395425014
175.058333333333;2517418.15830568;2800464.27838493;2796595.25510946;194384.607896503;179879.041779124;604373.727271158;0.0772158599298145;0.0642318643974502;0.216110545910049
179.470833333333;2349984.09009844;2640253.69049858;2668474.13264558;85844.5642393653;60196.4320884093;412094.022761288;0.0365298491173059;0.0227994879071799;0.154430585524443
184.058333333333;2366198.12784647;2424959.84336812;2475333.26540486;185582.899734204;93910.4983191757;274980.405176384;0.0784308370250918;0.0387266199792982;0.111088235681028
188.316666666667;2183634.68634854;2333000.77514296;2392687.36750024;85559.2450033361;98856.1847087794;152015.353089402;0.0391820323876644;0.042372975509501;0.0635333120215451
192.579166666667;2166418.30119287;2238903.39877083;2379170.20848064;171671.246239035;73115.4168968431;215791.516034119;0.0792419664034917;0.0326567983848629;0.090700327057275
196.758333333333;2015667.13060323;2166536.00581976;2325575.83700083;90938.7483262325;84467.5912040209;132459.562048528;0.0451159553804983;0.0389873932291563;0.0569577478149904
Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
